User_ID,Name,CellPhone,Mail,Age,Tech_Savviness,Occupation,Experience_with_VR,Experience_with_Playing_Video_Games,Decision_Making_in_Technology_Purchase,Interest_in_New_Technologies,Usage_of_Digital_Devices,VR_Comfort_Level,Expectations_of_VR,Perceived_Realism_Expectation,p1Completion_Time,p1Initial_Reaction_to_VR_Interface,p1Frustration_Level_Expectation,p1Clarity_of_Tutorial_Instructions,p1Comfort_Level_with_Headset,p1Engagement_Level,p1Perceived_Realism,p2Completion_Time,p2Ease_of_Controller_Use,p2Frustration_Level,p2Confidence_in_Using_VR_Controls_After_Tutorial,p2Engagement_Level,p2Perceived_Realism,p3Completion_Time,p3Game_Score,p3Reaction_Time_Improvement,p3Enjoyment_Level_of_Game,p3Frustration_Level,p3Ease_of_Learning_Game_Mechanics,p3Engagement_Level,p3Perceived_Realism,Understanding_Time,Ease_of_Use,Perceived_Accuracy_of_Hand_Tracking,Frustration_Level,Intuitiveness_of_Hand_Controls,Engagement_Level,Perceived_Realism,Confidence_in_Using_Hand_Controls,Time_for_Setup,Use_Time,Total_Time,Task_Completion,User_Satisfaction,Physical_Comfort_During_Use,Interest_in_Continued_Use_of_VR_for_Work,Perceived_Productivity_During_Session,Comfort_Level_During_Use,Will_you_buy_this_product,Would_you_buy_if_finance_not_issue,VR_Fatigue,Reasons_Not_To_Buy,Intuitiveness_of_Multi_Screen_Interaction,VR_Experience_Meeting_Expectations,Perceived_Value_for_Daily_Needs,Recommend_VR_System,Symptoms_Experienced,Headache_Severity_Post_Use,Eye_Strain_Post_Use,Neck_Shoulder_Discomfort_Post_Use,Perceived_Immersion,Interest_in_Future_VR_Purchases,Physical_Comfort_Headset,Visual_Experience_Quality,Weight_Impact_Headset,Interaction_Naturalness,Learning_Curve_Proficiency_in_VR,Long_Term_Engagement
101,Hidden,Hidden,Hidden,30,1,Other,1,1,1,1,1,1,1,1,872.0,1.0,5.0,1.0,1.0,1.0,1.0,872.0,1.0,5.0,1.0,1.0,1.0,1.0,178.0,1730.0,1.0,1.0,1.0,1.0,1.0,160,1,1,5,1,1,1,1,492,32,524,Coding,1,Yes,Yes,Cost,1,1,1,1,1,,,,,5,5,5,1,1,1,1,5,1,1,,
102,Hidden,Hidden,Hidden,25,3,Professional in IT,2,3,4,4,4,3,3,3,872.0,2.0,3.0,2.0,3.0,2.0,3.0,750.0,3.0,2.0,3.0,4.0,3.0,4.0,165.0,1250.0,4.0,3.0,2.0,4.0,4.0,140,3,4,2,4,3,4,4,8,45,52,Coding,4,Yes,Yes,Comfort,4,3,4,5,4,,,,,1,2,2,3,4,4,4,1,4,3,4.0,
103,Hidden,Hidden,Hidden,27,4,Professional in IT,4,4,4,4,5,3,4,4,820.0,4.0,1.0,4.0,5.0,4.0,4.0,700.0,4.0,2.0,4.0,5.0,4.0,5.0,180.0,1600.0,5.0,4.0,1.0,5.0,5.0,120,4,5,1,5,4,5,5,5,40,45,Assignment,5,Yes,No,Technical issues,5,4,5,4,5,,,,,0,1,1,5,5,5,5,0,5,4,5.0,
104,Hidden,Hidden,Hidden,29,2,Other,1,1,1,2,2,1,1,1,960.0,1.0,4.0,1.0,1.0,1.0,2.0,800.0,2.0,3.0,2.0,2.0,2.0,3.0,200.0,1400.0,3.0,2.0,3.0,3.0,2.0,160,2,3,4,2,2,2,2,10,50,60,Other,2,No,Yes,Lack of interest,2,2,3,2,2,,,,,2,3,2,2,3,2,3,2,2,1,2.0,
105,Hidden,Hidden,Hidden,26,5,Professional in IT,5,5,5,5,5,4,5,5,900.0,5.0,5.0,5.0,5.0,5.0,5.0,850.0,5.0,4.0,5.0,5.0,5.0,5.0,190.0,1800.0,5.0,5.0,5.0,5.0,5.0,100,5,5,5,5,5,5,5,3,30,33,Coding,5,Yes,Yes,,5,5,5,5,5,,,,,0,0,0,5,5,5,5,0,5,5,5.0,
106,Hidden,Hidden,Hidden,24,2,Student in Master's of CS,1,2,2,2,3,1,2,2,880.0,2.0,2.0,2.0,2.0,2.0,2.0,760.0,2.0,1.0,2.0,2.0,2.0,2.0,170.0,1500.0,2.0,2.0,2.0,2.0,2.0,150,2,2,2,2,2,2,2,7,35,42,Assignment,2,No,No,Cost,2,2,2,2,2,,,,,1,1,1,2,2,2,2,1,2,2,2.0,
107,Hidden,Hidden,Hidden,28,3,Other,2,3,3,3,3,2,3,3,860.0,3.0,3.0,3.0,3.0,3.0,3.0,740.0,3.0,2.0,3.0,3.0,3.0,3.0,175.0,1450.0,3.0,3.0,3.0,3.0,3.0,145,3,3,3,3,3,3,3,6,38,44,Coding,3,Yes,Yes,,3,3,3,3,3,,,,,0,0,0,3,3,3,3,0,3,3,3.0,
108,Hidden,Hidden,Hidden,22,4,Student in Master's of CS,4,4,4,4,5,3,4,4,830.0,4.0,5.0,4.0,4.0,4.0,4.0,780.0,4.0,3.0,4.0,4.0,4.0,4.0,160.0,1750.0,5.0,4.0,4.0,5.0,5.0,130,4,5,3,5,4,5,5,4,42,46,Coding,4,Yes,Yes,,4,4,5,5,4,,,,,0,0,0,4,5,5,5,0,5,5,5.0,
109,Hidden,Hidden,Hidden,30,1,Professional in IT,3,3,4,4,2,4,5,3,910.0,3.0,2.0,3.0,3.0,3.0,3.0,770.0,3.0,2.0,3.0,3.0,3.0,3.0,155.0,1600.0,4.0,3.0,2.0,4.0,4.0,135,3,3,2,3,3,3,3,5,39,44,Assignment,3,Yes,No,Technical issues,3,3,3,3,3,,,,,1,1,1,3,3,3,3,1,3,3,3.0,
110,Hidden,Hidden,Hidden,23,2,Other,2,1,2,1,2,1,2,2,840.0,2.0,1.0,2.0,2.0,2.0,2.0,720.0,2.0,2.0,2.0,2.0,2.0,2.0,150.0,1400.0,2.0,2.0,2.0,2.0,2.0,155,2,2,3,2,2,2,2,9,37,46,Assignment,2,No,No,Cost,2,2,2,2,2,,,,,1,2,2,2,2,2,2,1,2,2,2.0,
