User_ID,p1Completion_Time,p1Initial_Reaction_to_VR_Interface,p1Frustration_Level_Expectation,p1Clarity_of_Tutorial_Instructions,p1Comfort_Level_with_Headset,p1Engagement_Level,p1Perceived_Realism,p2Completion_Time,p2Ease_of_Controller_Use,p2Frustration_Level,p2Confidence_in_Using_VR_Controls_After_Tutorial,p2Engagement_Level,p2Perceived_Realism,p3Completion_Time,p3Game_Score,p3Reaction_Time_Improvement,p3Enjoyment_Level_of_Game,p3Frustration_Level,p3Ease_of_Learning_Game_Mechanics,p3Engagement_Level,p3Perceived_Realism
101,872,1,5,1,1,1,1,872,1,5,1,1,1,1,178,1730,1,1,1,1,1
102,872,2,3,2,3,2,3,750,3,2,3,4,3,4,165,1250,4,3,2,4,4
103,820,4,1,4,5,4,4,700,4,2,4,5,4,5,180,1600,5,4,1,5,5
104,960,1,4,1,1,1,2,800,2,3,2,2,2,3,200,1400,3,2,3,3,2
105,900,5,5,5,5,5,5,850,5,4,5,5,5,5,190,1800,5,5,5,5,5
106,880,2,2,2,2,2,2,760,2,1,2,2,2,2,170,1500,2,2,2,2,2
107,860,3,3,3,3,3,3,740,3,2,3,3,3,3,175,1450,3,3,3,3,3
108,830,4,5,4,4,4,4,780,4,3,4,4,4,4,160,1750,5,4,4,5,5
109,910,3,2,3,3,3,3,770,3,2,3,3,3,3,155,1600,4,3,2,4,4
110,840,2,1,2,2,2,2,720,2,2,2,2,2,2,150,1400,2,2,2,2,2
111,930,5,5,5,5,5,5,810,5,4,5,5,5,5,195,1850,5,5,5,5,5
112,880,3,3,3,3,3,3,740,3,3,3,3,3,3,170,1450,3,3,3,3,3
113,870,4,4,4,4,4,4,760,4,4,4,4,4,4,180,1700,4,4,4,4,4
114,840,2,2,2,2,2,2,710,2,1,2,2,2,2,160,1300,2,2,2,2,2
115,860,3,3,3,3,3,3,780,3,2,3,3,3,3,175,1500,3,3,3,3,3
116,920,5,5,5,5,5,5,840,5,4,5,5,5,5,190,1850,5,5,5,5,5
117,890,4,4,4,4,4,4,830,4,3,4,4,4,4,185,1750,4,4,4,4,4
118,870,3,3,3,3,3,2,740,2,2,2,3,2,2,165,1350,3,2,3,3,2
119,860,2,2,2,2,2,2,720,2,1,2,2,2,2,170,1400,2,2,2,2,2
120,910,5,5,5,5,5,5,800,5,4,5,5,5,5,190,1900,5,5,5,5,5
121,850,3,3,3,3,3,3,730,3,2,3,3,3,3,160,1500,3,3,3,3,3
122,840,2,2,2,2,2,2,710,2,1,2,2,2,2,150,1400,2,2,2,2,2
123,800,1,1,1,1,1,1,660,1,1,1,1,1,1,140,1200,1,1,1,1,1
124,950,5,5,5,5,5,5,900,5,5,5,5,5,5,195,2000,5,5,5,5,5
125,880,4,4,4,4,4,4,820,4,3,4,4,4,4,185,1750,4,4,4,4,4
126,850,3,3,3,3,3,3,730,3,2,3,3,3,3,160,1500,3,3,3,3,3
127,840,2,2,2,2,2,2,710,2,1,2,2,2,2,150,1400,2,2,2,2,2
128,920,5,5,5,5,5,5,890,5,4,5,5,5,5,200,1900,5,5,5,5,5
129,860,3,3,3,3,3,3,730,3,2,3,3,3,3,165,1450,3,3,3,3,3
130,930,4,5,4,5,4,5,880,5,4,5,5,5,5,175,1800,5,5,5,5,5
131,850,2,2,2,2,2,2,720,2,1,2,2,2,2,160,1350,2,2,2,2,2
