User_ID,Understanding_Time,Ease_of_Use,Perceived_Accuracy_of_Hand_Tracking,Frustration_Level,Intuitiveness_of_Hand_Controls,Engagement_Level,Perceived_Realism,Confidence_in_Using_Hand_Controls
101,160,1,1,5,1,1,1,1
102,140,3,4,2,4,3,4,4
103,120,4,5,1,5,4,5,5
104,160,2,3,4,2,2,2,2
105,100,5,5,5,5,5,5,5
106,150,2,2,2,2,2,2,2
107,145,3,3,3,3,3,3,3
108,130,4,5,3,5,4,5,5
109,135,3,3,2,3,3,3,3
110,155,2,2,3,2,2,2,2
111,125,5,5,5,5,5,5,5
112,145,3,3,3,3,3,3,3
113,130,4,4,4,4,4,4,4
114,160,2,2,3,2,2,2,2
115,145,3,3,3,3,3,3,3
116,120,5,5,5,5,5,5,5
117,135,4,4,4,4,4,4,4
118,150,2,3,3,2,2,3,2
119,145,2,2,2,2,2,2,2
120,100,5,5,5,5,5,5,5
121,140,3,3,3,3,3,3,3
122,155,2,2,3,2,2,2,2
123,170,1,1,2,1,1,1,1
124,110,5,5,5,5,5,5,5
125,135,4,4,4,4,4,4,4
126,140,3,3,3,3,3,3,3
127,155,2,2,3,2,2,2,2
128,120,5,5,5,5,5,5,5
129,140,3,3,3,3,3,3,3
130,110,5,5,5,5,5,5,5
131,150,2,2,3,2,2,2,2
