User_ID,Symptoms_Experienced,Headache_Severity_Post_Use,Eye_Strain_Post_Use,Neck_Shoulder_Discomfort_Post_Use,Perceived_Immersion,Interest_in_Future_VR_Purchases,Physical_Comfort_Headset,Visual_Experience_Quality,Weight_Impact_Headset,Interaction_Naturalness
101,5,5,5,1,1,1,1,5,1,1,0
102,1,2,2,3,4,4,4,1,4,3,4
103,0,1,1,5,5,5,5,0,5,4,5
104,2,3,2,2,3,2,3,2,2,1,2
105,0,0,0,5,5,5,5,0,5,5,5
106,1,1,1,2,2,2,2,1,2,2,2
107,0,0,0,3,3,3,3,0,3,3,3
108,0,0,0,4,5,5,5,0,5,5,5
109,1,1,1,3,3,3,3,1,3,3,3
110,1,2,2,2,2,2,2,1,2,2,2
111,0,0,0,5,5,5,5,0,5,5,5
112,0,0,0,3,3,3,3,0,3,3,3
113,0,0,0,4,4,4,4,0,4,4,4
114,1,1,1,2,2,2,2,1,2,2,2
115,0,0,0,3,3,3,3,0,3,3,3
116,0,0,0,5,5,5,5,0,5,5,5
117,0,1,1,4,4,4,4,0,4,4,4
118,1,2,2,2,3,2,2,1,2,3,2
119,1,1,1,2,2,2,2,1,2,2,2
120,0,0,0,5,5,5,5,0,5,5,5
121,0,1,1,3,3,3,3,0,3,3,3
122,1,2,2,2,2,2,2,1,2,2,2
123,2,3,2,1,1,1,1,2,1,1,1
124,0,0,0,5,5,5,5,0,5,5,5
125,0,1,1,4,4,4,4,0,4,4,4
126,0,1,1,3,3,3,3,0,3,3,3
127,1,2,2,2,2,2,2,1,2,2,2
128,0,0,0,5,5,5,5,0,5,5,5
129,0,1,1,3,3,3,3,0,3,3,3
130,0,0,0,5,5,5,5,0,5,5,5
131,1,2,2,2,2,2,2,1,2,2,2
